% aged 16-64 who are employees,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",% of economically inactive who do not want a job,% who are economically inactive - aged 16-64,% with NVQ4+ - aged 16-64,Economic activity rate - aged 16-64,Population estimates - Aged 65 and over (%),Claimants as a proportion of economically active residents aged 16+
66.5,8.2,78.9,23.7,41.7,76.3,20.1,6
72.9,,56.8,20.6,43.5,79.4,21.7,6.8
67.1,10.3,90.8,20.8,24.2,79.2,20.9,9.3
59.4,10.1,73.3,23.9,26.6,76.1,30,8.7
59.6,13,82.4,28.6,32.4,71.4,15.4,10.1
61.8,5.2,69.4,22.1,35.6,77.9,23.6,5.5
64,11,69.4,21.8,19.5,78.2,24.2,7.8
56.7,7.1,76.5,23.4,35.3,76.6,23.2,6.9
60.8,9.6,77.9,27.9,30.3,72.1,24.8,7.9
69.9,10.6,74.5,15.4,35.1,84.6,25.1,5.9
70.9,13.6,85.8,16.6,34.6,83.4,25.8,5.1
54.9,12.4,76,27.4,18.6,72.6,24.4,11.5
66.3,8,80.7,18.4,27,81.6,26.2,6.8
57.5,17.1,83.1,21.4,34.6,78.6,33.2,6.2
72.2,8.6,77.6,15.5,40.3,84.5,15.1,8.5
68.2,9.9,85.6,23.9,46.3,76.1,24,5.4
67.8,7.8,54.7,17,50.6,83,27.3,4.7
64.8,9.7,58.9,18.5,42.9,81.5,26.5,4.6
69.5,7.6,84.2,18.3,39.9,81.7,23.6,5.2
67.5,14,81.8,21.3,32.5,78.7,21.4,5
61.6,10.3,100,29,47.6,71,27,5.6
59.1,14.3,66.5,23.5,31.2,76.5,27.5,8.7
63,7.5,78.9,20.9,30.4,79.1,20.4,5.6
64.6,6.9,73.8,22.4,24.5,77.6,19.4,8.1
64.5,10.7,83.4,22.4,28.5,77.6,22.2,7.5
70.6,5.4,76.5,19.1,51,80.9,21.1,6.3
64.7,9.2,83,20.7,32.2,79.3,21.1,6.8
62.9,18.5,74.7,24.6,25.3,75.4,19.4,8.6
62.8,13.2,84.6,19.7,26.3,80.3,22.1,6.5
62.5,6.3,80.4,20.7,59.4,79.3,21.2,4.8
71.8,5.3,74.1,17.4,48.6,82.6,18.3,5.6
62.5,5.4,86.9,27.1,62,72.9,12.5,6.9
71.9,7.2,79.2,13.4,42.7,86.6,21.1,4.8
79.3,8,58.3,8.5,62.2,91.5,20.2,4.5
68.9,7.3,69.7,19.3,45.3,80.7,21.8,5.2
71.2,10.5,71.6,14.7,45.9,85.3,23.5,6.6
64.2,9.6,74.1,24.8,29.3,75.2,23.9,7.2
65.9,14.8,91.7,24.2,26,75.8,25.6,6.5
76.2,5.9,66.6,12,28.3,88,19.2,6.8
65.6,9.5,80.6,20.3,44.8,79.7,19.3,7.3
63.4,5.1,67.1,17.1,46,82.9,24,6
63.1,11.6,79,21.8,38.6,78.2,20.7,6.8
59.8,10.1,93.5,23,36.4,77,24.7,6.6
69.7,4,74.6,21.1,54.2,78.9,22.5,6
68.5,9.9,93.3,15.2,43.9,84.8,25.2,5.2
78.1,11.1,79.4,14.8,27.8,85.2,19.1,8.2
62.1,13,84.9,20.4,39.2,79.6,26.3,6.3
66.5,12.3,59,22.7,32.7,77.3,16.8,9.6
60.8,6.6,73.8,18.7,29.2,81.3,24.6,5.4
66.1,9.2,57.8,17.9,57.4,82.1,18.5,5.5
72.2,10.3,86.7,13.4,53.9,86.6,18.3,5.3
73.8,2.2,76.7,15.1,58.9,84.9,16.6,4.7
68.3,13.3,78,15,43.1,85,23.7,5.1
70.5,13.6,79.3,20.2,46.5,79.8,18.2,6
68.6,5.2,57.8,14.1,56.6,85.9,16.9,5.7
66.8,11.2,72,16,52.5,84,18.6,7.5
73.3,6.2,84.3,13.1,45.4,86.9,19.7,5.5
67.3,,90.7,15.9,49.1,84.1,20.9,5.9
68.7,3.6,83.7,13.3,57.8,86.7,22.3,4.6
71.2,9,88.6,16.4,60.1,83.6,17.3,5.9
66.2,11.2,87.8,21.4,25.5,78.6,21.9,7.3
71,10.7,71.3,18.1,35.4,81.9,19.3,8.8
69.2,6.3,77,16.5,47.5,83.5,19,6.2
65.8,4,78.9,15.4,49.4,84.6,25.5,5.5
69.5,8.3,77.8,15,63.9,85,18.8,5.6
72.4,6.2,100,12.8,37,87.2,23.5,7.5
72.3,9.2,79,19.6,35.5,80.4,28.9,7.8
58.4,12,79.2,25.1,37.6,74.9,27.4,6.9
74.2,14.7,82.3,15.3,29.1,84.7,13.6,10.3
63.9,6.6,80,18.6,47.3,81.4,22.8,5.7
71.7,12.5,84.9,15.6,50.8,84.4,20.6,5
67.2,12.6,57.1,17,37.3,83,22.6,7.5
72.6,6.4,92.1,19,44.3,81,22.7,6.2
62.6,17.3,94,22.7,53,77.3,28.2,6.7
71,11.6,85.9,14.8,28,85.2,18.5,7.7
63.3,5.3,73.7,23,39.4,77,17.3,7.9
68.5,10.3,85.1,19.4,36.7,80.6,25.1,6.1
67.3,11.6,72.2,15.2,35.8,84.8,24.9,8
68.7,2,86.3,17.5,66.7,82.5,17.1,5.4
74.6,5.3,85.9,15.9,45.3,84.1,15.5,5.9
63.9,5.3,71.6,20.6,41.3,79.4,18.1,5.7
75.8,6.6,95,13.7,50.1,86.3,15.4,7.1
63.6,12.6,79.3,22.2,36,77.8,27.5,7.3
68,8.5,86.2,15.7,35.2,84.3,21.2,5.7
67.3,13.1,74.8,16.5,42.9,83.5,25.9,6.1
59.4,10.4,79.7,26.6,33.7,73.4,17.3,12.1
64,5.9,81.7,21.7,41.3,78.3,18.3,9.5
61,5.9,78.5,27.5,47.7,72.5,9.3,13
60.5,11.3,73.9,25.2,27.7,74.8,16.2,12.9
60.6,9.7,82.5,27.2,30.3,72.8,16.5,12.3
68.3,5.5,77.7,20.7,42.3,79.3,14.2,11.5
66.7,8.6,82.1,19.3,46.2,80.7,20,8.1
63,11.4,75.2,22.9,26.7,77.1,17.7,10.9
65.1,5.9,76.4,17.8,51.4,82.2,17.4,7.2
66.3,11.7,79.7,19.1,30.8,80.9,19.1,9
67.9,8.9,71.9,22.3,29.1,77.7,17.3,11.8
65.7,10.2,78.4,25.6,42.3,74.4,14.8,12.4
69,11,71.5,20.9,36.6,79.1,20.6,9.3
67.8,9.6,80.1,22.5,39,77.5,23.6,9.8
64,9.7,77.3,26.1,37.5,73.9,21.9,9.2
61.9,12.7,71.1,27,28.6,73,19.5,8.9
64.3,8.4,76.5,21.3,26.7,78.7,19.2,10.3
65.3,13.9,71.6,19.7,34.2,80.3,19.7,9.5
63.9,7.9,73.2,24.9,47.7,75.1,16.1,8.9
64.7,10.4,72.9,24.5,44.1,75.5,14.5,10.8
69.4,7.4,72.8,18.9,42.3,81.1,20.3,8.7
60.8,11.5,71.5,27.8,28.8,72.2,20.3,13.2
64.3,9.6,79.4,24.8,29,75.2,19.7,11
56.8,7.3,85.8,27.6,37.9,72.4,13.1,15.8
64,8.9,72.1,24.2,38.1,75.8,13.5,9.5
63.8,8.6,78.9,23.6,30.5,76.4,20.4,10.5
65.3,10.9,78.6,24.8,26.5,75.2,15,13.4
69.7,7.1,80.6,18.8,42.2,81.2,21.1,8
64.3,12.3,75.7,23.2,27.2,76.8,17.6,11.8
65,11.8,67.7,23.6,31.5,76.4,16.7,14.2
60.2,12.7,81.8,25,34.7,75,15,13.1
63.5,11,81.2,23.6,36.8,76.4,18.8,9.7
64.3,9.9,87.1,25.2,33.6,74.8,17.8,9.6
72.2,8.1,85,15.9,46.9,84.1,15.6,8.9
66.6,10.2,75.3,20.8,28.7,79.2,19,8.5
66.9,8.2,76.2,19.7,33.6,80.3,19.7,9.9
56,9.5,73.5,25.6,43.7,74.4,9.3,14.7
62.5,7.3,75.9,20.5,61.9,79.5,14.5,9.5
68.6,7.8,75.2,17.3,36.9,82.7,16.5,7.6
56.2,7.1,74.1,27,50.2,73,12.5,14.4
67.1,8.6,78.1,19.9,52.7,80.1,17.5,7.4
54.9,4.3,64.2,26.6,65.9,73.4,12,8.7
66.9,9.7,60.6,18.5,49.1,81.5,13.8,11.9
61.7,4.8,90.4,18.7,60.8,81.3,13.1,12.6
57.4,8.1,72,26,46,74,13.4,12.5
65.4,7.7,73.8,19.3,60.4,80.7,10.5,10.8
62.1,7.7,67.1,23.8,58.5,76.2,7.7,12.6
62.2,4.5,70.4,16.8,64.7,83.2,11,11.1
60.8,4,80.2,20.6,65,79.4,10.4,13.8
59.1,6.2,78.7,20.5,58.8,79.5,15.9,9.7
68.5,7.3,72.8,19.1,40.2,80.9,18,8.4
66.2,8.3,74,18.1,54.4,81.9,13.5,9.4
65.9,5.3,70,20.6,52.2,79.4,12.3,12.3
65.5,5.1,55.1,20.9,62.1,79.1,8.9,10.4
60.1,9.3,80.2,23.4,66.2,76.6,16,8.5
63.7,6.9,84.1,19,61.9,81,13.9,7
66.5,7.2,72.6,14.8,68.5,85.2,8.4,11.2
68.1,6.9,50.6,14.7,69.6,85.3,9.5,11.5
66.9,4.6,74.5,15.6,60.6,84.4,12.8,9
62.1,5,84.7,21.5,59,78.5,7.7,13.9
57,6.5,81,24.6,51.5,75.4,12.7,10.9
64.6,3.4,76.9,18.2,67.8,81.8,15.9,6.3
66.6,6.3,72.5,13.8,66.4,86.2,8.5,10.9
62.7,6.9,71.5,17.4,54.9,82.6,15.3,7.6
65.4,4.8,89.9,21.1,61.8,78.9,6.4,12.2
58.6,7.7,79.9,20.4,56.9,79.6,10.8,13.2
71.1,5.1,84.4,12.8,72.6,87.2,9.6,7.6
54.7,5.5,62.5,23.4,65.3,76.6,12.5,8.8
65.9,6.6,87.3,22.2,47,77.8,20.3,9.3
55.1,12.7,77.9,27.6,36.7,72.4,25.9,7.8
64.9,9.1,75.3,24,42,76,20.5,10.9
